scenario,policy,episodes,breach_episodes,max_T_C,mean_effort_fraction,interval_misses,invalid_steps,clipped_steps
no_delay,fixed_cap,20,0,84.45566536446805,0.6792452830188792,0,0,0
no_delay,threshold,20,0,93.59023765372217,0.8865503144654046,0,0,0
no_delay,nominal_queue,20,7,160.5633262603135,0.9999999999999958,0,0,6130
no_delay,interval_no_queue,20,0,102.0982773375537,0.9512169811320724,0,0,4474
no_delay,interval_queue,20,0,102.0982773375537,0.9512169811320724,0,0,4474
delay_8,fixed_cap,20,0,84.45566536446805,0.6732075471698223,0,0,0
delay_8,threshold,20,0,97.13556514563426,0.8720628930817572,0,0,272
delay_8,nominal_queue,20,7,160.5812589506038,0.9934591194968514,0,0,5981
delay_8,interval_no_queue,20,1,105.00571428557346,0.54461006289308,0,8262,365
delay_8,interval_queue,20,0,101.9552590027388,0.9418553459119468,0,0,3079
delay_20,fixed_cap,20,0,84.45566536446805,0.6641509433962371,0,0,0
delay_20,threshold,20,0,102.41804158716566,0.854836477987418,0,0,945
delay_20,nominal_queue,20,7,160.49125772630288,0.9836477987421347,0,0,5776
delay_20,interval_no_queue,20,4,109.82758134035447,0.5796603773584891,0,7546,549
delay_20,interval_queue,20,0,101.62890903014794,0.9310345911949659,0,0,2159
dropout_60,fixed_cap,20,0,84.45566536446805,0.6732075471698223,0,0,0
dropout_60,threshold,20,0,97.17383499139062,0.8121257861635183,0,0,217
dropout_60,nominal_queue,20,7,160.5812589506038,0.9934591194968514,0,0,5471
dropout_60,interval_no_queue,20,1,105.00571428557346,0.32153144654088045,0,12285,305
dropout_60,interval_queue,20,0,101.9303412398028,0.9350974842767268,0,0,2505
hot_start,fixed_cap,20,0,99.46519489017143,0.6732075471698223,0,0,135
hot_start,threshold,20,0,99.46519489017143,0.8473836477987383,0,0,392
hot_start,nominal_queue,20,7,160.70822807418298,0.9934591194968514,0,0,7086
hot_start,interval_no_queue,20,0,104.55129495713061,0.4699119496855328,0,9534,514
hot_start,interval_queue,20,0,101.98753225847808,0.9354056603773555,0,0,3700
upper_corner,fixed_cap,20,0,101.13465220622345,0.6641509433962371,0,0,10635
upper_corner,threshold,20,20,106.06430259403977,0.4167201257861642,0,0,4236
upper_corner,nominal_queue,20,20,203.5271073137937,0.9836477987421347,0,0,15386
upper_corner,interval_no_queue,20,20,116.23220733126301,0.08766666666666667,0,16602,1878
upper_corner,interval_queue,20,0,104.99997051408057,0.7047075471698161,0,0,15386
model_violation,fixed_cap,20,0,84.45566536446805,0.19090566037735757,12961,12941,0
model_violation,threshold,20,0,101.4489102478331,0.24342767295597567,12980,12970,139
model_violation,nominal_queue,20,6,507.9309545136,0.33645283018867966,12927,11674,2428
model_violation,interval_no_queue,20,1,105.00571428557346,0.19525471698113256,10507,14431,310
model_violation,interval_queue,20,1,106.11888669735383,0.256761006289309,12980,12970,645
stuck_low,fixed_cap,20,0,84.45566536446805,0.18867924528301797,0,13000,0
stuck_low,threshold,20,0,96.84411215304969,0.2415408805031455,0,13000,43
stuck_low,nominal_queue,20,6,125.6325393820977,0.26163522012578705,0,13000,993
stuck_low,interval_no_queue,20,1,105.00571428557346,0.19418553459119545,0,14448,310
stuck_low,interval_queue,20,0,101.7474146291167,0.2548742138364788,0,13000,449
queue_mismatch,fixed_cap,20,0,92.24270838313049,0.21408805031446457,1502,12917,0
queue_mismatch,threshold,20,0,99.78919019681541,0.855044025157229,59,622,237
queue_mismatch,nominal_queue,20,7,160.5812589506038,0.9934591194968514,0,0,5981
queue_mismatch,interval_no_queue,20,1,105.00571428557346,0.5587610062893065,301,8262,365
queue_mismatch,interval_queue,20,0,103.89380710450162,0.9418993710691794,0,0,3103
