scenario,seed,policy,k,true_T_C,reading_C,requested,accepted,applied,acknowledged,decision_id,cumulative_effort,lo_C,hi_C,valid,reason,predicted_peak_C,pending_json,next_T_C,interval_miss,breach
delay_20,4000,interval_queue,0,81.52618254661378,81.58144061686615,1.0,1.0,0.0,0.0,1,0.0,81.28144061686615,81.88144061686614,1,,81.88144061686614,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",80.92860587076699,0,0
delay_20,4000,interval_queue,1,80.92860587076699,80.92978511336601,1.0,1.0,0.0,0.0,2,0.0,80.62978511336601,81.229785113366,1,,81.229785113366,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]",80.3568318555514,0,0
delay_20,4000,interval_queue,2,80.3568318555514,80.38937567648748,1.0,1.0,0.0,0.0,3,0.0,80.08937567648748,80.68937567648747,1,,80.68937567648747,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0]",79.77374302812584,0,0
delay_20,4000,interval_queue,3,79.77374302812584,79.8688691140976,1.0,1.0,0.0,0.0,4,0.0,79.56886911409761,80.1688691140976,1,,80.1688691140976,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0]",79.20302471575917,0,0
delay_20,4000,interval_queue,4,79.20302471575917,79.38030102993436,1.0,1.0,0.0,0.0,5,0.0,79.08030102993436,79.68030102993436,1,,79.71908899322612,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0]",78.62484241815307,0,0
delay_20,4000,interval_queue,5,78.62484241815307,78.79470723058058,1.0,1.0,0.0,0.0,6,0.0,78.49470723058059,79.09470723058058,1,,80.11848969205306,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0]",78.06694854001745,0,0
delay_20,4000,interval_queue,6,78.06694854001745,78.26490117693731,1.0,1.0,0.0,0.0,7,0.0,77.96490117693732,78.56490117693731,1,,80.56347180784606,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0]",77.5030836321206,0,0
delay_20,4000,interval_queue,7,77.5030836321206,77.73966142153542,1.0,1.0,0.0,0.0,8,0.0,77.43966142153542,78.03966142153541,1,,81.00795472185861,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",76.9444123224201,0,0
delay_20,4000,interval_queue,8,76.9444123224201,77.05955623003756,1.0,1.0,0.0,0.0,9,0.0,76.75955623003756,77.35955623003755,1,,81.30845898075673,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",76.3910662357473,0,0
delay_20,4000,interval_queue,9,76.3910662357473,76.42176188964783,1.0,1.0,0.0,0.0,10,0.0,76.12176188964783,76.72176188964782,1,,81.6424834128429,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",75.83560237515564,0,0
delay_20,4000,interval_queue,10,75.83560237515564,75.55132482365535,1.0,1.0,0.0,0.0,11,0.0,75.35493546130311,75.85132482365535,1,,81.76256857693068,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",75.30593998351114,0,0
delay_20,4000,interval_queue,11,75.30593998351114,75.21305261460543,1.0,1.0,0.0,0.0,12,0.0,74.91305261460543,75.51305261460543,1,,82.35713086518871,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",74.78417596860875,0,0
delay_20,4000,interval_queue,12,74.78417596860875,74.93588611633005,1.0,1.0,0.0,0.0,13,0.0,74.63588611633006,75.23588611633005,1,,83.00219845123206,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",74.25546613272752,0,0
delay_20,4000,interval_queue,13,74.25546613272752,74.17110247956603,1.0,1.0,0.0,0.0,14,0.0,73.8913478245851,74.47110247956603,1,,83.2038952729734,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",73.75423777738072,0,0
delay_20,4000,interval_queue,14,73.75423777738072,73.634427798427,1.0,1.0,0.0,0.0,15,0.0,73.334427798427,73.934427798427,1,,83.6064597530669,"[0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",73.23117766576942,0,0
delay_20,4000,interval_queue,15,73.23117766576942,73.23982785314706,1.0,1.0,0.0,0.0,16,0.0,72.93982785314707,73.53982785314706,1,,84.13247582365838,"[0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",72.72089701545774,0,0
